Fecha, Nivel(m), Gasto(m³/s)
22-05-16,0.22,0.15
23-05-16,0.21,0.13
24-05-16,0.2,0.12
25-05-16,0.2,0.12
26-05-16,0.21,0.13
27-05-16,0.2,0.1
28-05-16,0.22,0.14
29-05-16,0.2,0.11
30-05-16,0.2,0.1
31-05-16,0.21,0.11
01-06-16,0.21,0.11
02-06-16,0.23,0.15
03-06-16,0.29,0.42
04-06-16,0.22,0.14
05-06-16,0.3,0.43
06-06-16,0.24,0.23
07-06-16,0.23,0.22
08-06-16,0.21,0.14
09-06-16,0.2,0.11
10-06-16,0.2,0.12
11-06-16,0.21,0.11
12-06-16,0.19,0.1
13-06-16,0.19,0.1
14-06-16,0.19,0.1
15-06-16,0.19,0.1
16-06-16,0.18,0.09
17-06-16,0.18,0.08
18-06-16,0.17,0.08
19-06-16,0.17,0.08
20-06-16,0.17,0.07
21-06-16,0.19,0.1
22-06-16,0.19,0.1
23-06-16,0.17,0.07
24-06-16,0.17,0.07
25-06-16,0.17,0.07
26-06-16,0.17,0.07
27-06-16,0.16,0.07
28-06-16,0.16,0.06
29-06-16,0.16,0.05
30-06-16,0.16,0.07
01-07-16,0.2,0.11
02-07-16,0.18,0.08
03-07-16,0.18,0.08
04-07-16,0.18,0.08
05-07-16,0.18,0.08
06-07-16,0.17,0.07
07-07-16,0.17,0.06
08-07-16,0.16,0.06
09-07-16,0.16,0.05
10-07-16,0.16,0.06
11-07-16,0.16,0.05
12-07-16,0.16,0.06
13-07-16,0.16,0.05
14-07-16,0.15,0.04
15-07-16,0.15,0.03
16-07-16,0.15,0.03
17-07-16,0.15,0.04
18-07-16,0.15,0.04
19-07-16,0.15,0.3
20-07-16,0.15,0.04
21-07-16,0.15,0.03
22-07-16,0.16,0.05
23-07-16,0.16,0.05
24-07-16,0.15,0.04
25-07-16,0.15,0.03
26-07-16,0.15,0.03
27-07-16,0.15,0.03
28-07-16,0.15,0.03
29-07-16,0.23,0.15
30-07-16,0.16,0.06
31-07-16,0.16,0.06
01-08-16,0.16,0.06
02-08-16,0.16,0.06
03-08-16,0.16,0.05
04-08-16,0.16,0.05
05-08-16,0.15,0.04
06-08-16,0.15,0.04
07-08-16,0.15,0.04
08-08-16,0.15,0.03
09-08-16,0.14,0.03
10-08-16,0.14,0.03
11-08-16,0.14,0.03
12-08-16,0.14,0.02
13-08-16,0.14,0.03
14-08-16,0.24,0.27
15-08-16,0.2,0.14
16-08-16,0.25,0.28
17-08-16,0.22,0.19
18-08-16,0.21,0.12
19-08-16,0.2,0.11
20-08-16,0.19,0.09
21-08-16,0.22,0.14
22-08-16,0.4,1.62
23-08-16,0.3,0.32
24-08-16,0.26,0.22
25-08-16,0.26,0.22
26-08-16,0.24,0.2
27-08-16,0.23,0.16
28-08-16,0.26,0.23
29-08-16,0.32,0.36
30-08-16,0.35,0.47
31-08-16,0.8,7.21
01-09-16,0.7,6.24
02-09-16,0.5,2.4
03-09-16,0.4,1.85
04-09-16,0.4,1.86
05-09-16,0.35,1.35
06-09-16,0.33,1.24
07-09-16,0.31,1.02
08-09-16,0.28,0.88
09-09-16,0.28,0.82
10-09-16,0.26,0.74
11-09-16,0.25,0.67
12-09-16,0.24,0.54
13-09-16,0.24,0.59
14-09-16,0.42,1.94
15-09-16,0.32,1.11
16-09-16,0.8,7.39
17-09-16,0.52,2.99
18-09-16,0.46,2.17
19-09-16,0.4,1.71
20-09-16,0.35,1.31
21-09-16,0.33,1.27
22-09-16,0.31,0.99
23-09-16,0.3,0.94
24-09-16,0.29,0.85
25-09-16,0.28,0.81
26-09-16,0.51,2.9
27-09-16,0.54,3.68
28-09-16,0.55,3.74
29-09-16,0.52,2.65
30-09-16,0.5,2.36
01-10-16,0.46,1.98
02-10-16,0.44,1.68
03-10-16,0.42,1.56
04-10-16,0.4,1.45
05-10-16,0.39,1.37
06-10-16,0.38,1.28
07-10-16,0.37,1.23
08-10-16,1.2,12.63
09-10-16,0.51,3.9
10-10-16,0.47,2.84
