Comisión Nacional del Agua
Subdirección General Técnica
Estación: La Boca
Clave: BOCNL
Estado: Nuevo León
Municipio: Santiago

Fecha, Nivel(m), Gasto(m³/s)
1996/04/11,445.94,-
1996/04/12,445.94,-
1996/04/13,445.94,-
1996/04/14,445.94,-
1996/04/15,445.92,-
1996/04/16,445.90,-
1996/04/17,445.90,-
1996/04/18,445.89,-
1996/04/19,445.88,-
1996/04/20,445.88,-
1996/04/21,445.87,-
1996/04/22,445.86,-
1996/04/23,445.85,-
1996/04/24,445.84,-
1996/04/25,445.84,-
1996/04/26,445.83,-
1996/04/27,445.80,-
1996/04/28,445.78,-
1996/04/29,445.77,-
1996/04/30,445.75,-
1996/05/01,445.73,-
1996/05/02,445.72,-
1996/05/03,445.71,-
1996/05/04,445.70,-
1996/05/05,445.69,-
1996/05/06,445.67,-
1996/05/07,445.66,-
1996/05/08,445.64,-
1996/05/09,445.63,-
1996/05/10,445.62,-
1996/05/11,445.61,-
1996/05/12,445.59,-
1996/05/13,445.57,-
1996/05/14,445.55,-
1996/05/15,445.52,-
1996/05/16,445.48,-
1996/05/17,445.44,-
1996/05/18,445.40,-
1996/05/19,445.37,-
1996/05/20,445.34,-
1996/05/21,445.31,-
1996/05/22,445.27,-
1996/05/23,445.24,-
1996/05/24,445.20,-
1996/05/25,445.16,-
1996/05/26,445.13,-
1996/05/27,445.10,-
1996/05/28,445.08,-
1996/05/29,445.05,-
1996/05/30,445.01,-
1996/05/31,444.98,-
1996/06/01,444.95,-
1996/06/02,444.92,-
1996/06/03,444.87,-
1996/06/04,444.83,-
1996/06/05,444.80,-
1996/06/06,444.19,-
1996/06/07,444.72,-
1996/06/08,444.68,-
1996/06/09,444.68,-
1996/06/10,444.64,-
1996/06/11,444.60,-
1996/06/12,444.56,-
1996/06/13,444.51,-
1996/06/14,444.47,-
1996/06/15,444.43,-
1996/06/16,444.37,-
1996/06/17,444.28,-
1996/06/18,-,-
1996/06/19,444.08,-
1996/06/20,443.98,-
1996/06/21,443.88,-
1996/06/22,443.83,-
1996/06/23,443.85,-
1996/06/24,443.81,-
1996/06/25,443.76,-
1996/06/26,443.72,-
1996/06/27,443.69,-
1996/06/28,443.65,-
1996/06/29,443.61,-
1996/06/30,443.59,-
1996/07/01,443.59,-
1996/07/02,443.55,-
1996/07/03,443.51,-
1996/07/04,443.47,-
1996/07/05,443.45,-
1996/07/06,443.43,-
1996/07/07,443.38,-
1996/07/08,443.34,-
1996/07/09,443.31,-
1996/07/10,443.26,-
1996/07/11,443.26,-
1996/07/12,443.22,-
1996/07/13,443.18,-
1996/07/14,443.16,-
1996/07/15,443.10,-
1996/07/16,443.06,-
1996/07/17,443.02,-
1996/07/18,442.98,-
1996/07/19,442.92,-
1996/07/20,442.89,-
1996/07/21,442.85,-
1996/07/22,442.80,-
1996/07/23,442.74,-
1996/07/24,442.70,-
1996/07/25,442.68,-
1996/07/26,442.62,-
1996/07/27,442.58,-
1996/07/28,442.53,-
1996/07/29,442.47,-
1996/07/30,442.42,-
1996/07/31,442.36,-
1996/08/01,442.34,-
1996/08/02,442.29,-
1996/08/03,442.25,-
1996/08/04,442.20,-
1996/08/05,442.16,-
1996/08/06,442.09,-
1996/08/07,442.06,-
1996/08/08,442.02,-
1996/08/09,442.00,-
1996/08/10,441.96,-
1996/08/11,441.94,-
1996/08/12,441.87,-
1996/08/13,441.86,-
1996/08/14,441.82,-
1996/08/15,441.78,-
1996/08/16,441.73,-
1996/08/17,441.68,-
1996/08/18,441.65,-
1996/08/19,441.65,-
1996/08/20,441.55,-
1996/08/21,441.52,-
1996/08/22,441.49,-
1996/08/23,441.56,-
1996/08/24,442.00,-
1996/08/25,442.36,-
1996/08/26,442.56,-
1996/08/27,442.68,-
1996/08/28,442.76,-
1996/08/29,442.80,-
1996/08/30,442.85,-
1996/08/31,442.87,-
1996/09/01,442.99,-
1996/09/02,443.02,-
1996/09/03,443.07,-
1996/09/04,443.12,-
1996/09/05,443.60,-
1996/09/06,443.74,-
1996/09/07,443.85,-
1996/09/08,443.94,-
1996/09/09,443.94,-
1996/09/10,443.95,-
1996/09/11,444.00,-
1996/09/12,444.00,-
1996/09/13,444.03,-
1996/09/14,444.06,-
1996/09/15,444.07,-
1996/09/16,444.07,-
1996/09/17,444.08,-
1996/09/18,444.10,-
1996/09/19,444.11,-
1996/09/20,444.11,-
1996/09/21,443.13,-
1996/09/22,444.14,-
1996/09/23,444.16,-
1996/09/24,444.16,-
1996/09/25,444.16,-
1996/09/26,444.14,-
1996/09/27,444.12,-
1996/09/28,444.12,-
1996/09/29,444.12,-
1996/09/30,444.10,-
1996/10/01,444.10,-
1996/10/02,444.09,-
1996/10/03,444.09,-
1996/10/04,444.88,-
1996/10/05,445.40,-
1996/10/06,445.80,-
1996/10/07,446.16,-
1996/10/08,446.34,-
1996/10/09,446.49,-
1996/10/10,446.60,-
1996/10/11,446.70,-
1996/10/12,446.78,-
1996/10/13,446.84,-
1996/10/14,446.91,-
1996/10/15,446.96,-
1996/10/16,447.01,-
1996/10/17,447.06,-
1996/10/18,447.12,-
1996/10/19,447.15,-
1996/10/20,447.20,-
1996/10/21,447.23,-
1996/10/22,447.27,-
1996/10/23,447.31,-
1996/10/24,447.33,-
1996/10/25,447.36,-
1996/10/26,447.40,-
1996/10/27,447.44,-
1996/10/28,447.47,-
1996/10/29,447.49,-
1996/10/30,447.53,-
1996/10/31,447.54,-
1996/11/01,447.56,-
1996/11/02,447.58,-
1996/11/03,447.60,-
1996/11/04,447.62,-
1996/11/05,447.64,-
1996/11/06,447.66,-
1996/11/07,447.68,-
1996/11/08,447.70,-
1996/11/09,-,-
1996/11/10,447.70,-
1996/11/11,447.72,-
1996/11/12,447.74,-
1996/11/13,447.75,-
1996/11/14,447.76,-
1996/11/15,447.76,-
1996/11/16,447.78,-
