name,colonia
Calle Álvaro Obregón,"Monterrey, Nuevo León, Mexico"
Calle Doctor Julián Villarreal,"Monterrey, Nuevo León, Mexico"
Joaquín Garza Leal,"Monterrey, Nuevo León, Mexico"
Avenida Félix Uresti Gómez,"Monterrey, Nuevo León, Mexico"
Adolfo Prieto,"Monterrey, Nuevo León, Mexico"
Calle José Marroquín Leal,"Monterrey, Nuevo León, Mexico"
Avenida José María Pino Suárez,"Monterrey, Nuevo León, Mexico"
Entrada Estacionamiento Aula Magna,"Monterrey, Nuevo León, Mexico"
Ignacio Allende,"Monterrey, Nuevo León, Mexico"
Andador Emilio Carranza,"Monterrey, Nuevo León, Mexico"
Privada Martín de Zavala,"Monterrey, Nuevo León, Mexico"
Privada Treviño,"Monterrey, Nuevo León, Mexico"
Juan Aldama,"Monterrey, Nuevo León, Mexico"
Calle Roma,"Monterrey, Nuevo León, Mexico"
Privada Licenciado Verdad,"Monterrey, Nuevo León, Mexico"
Calle París,"Monterrey, Nuevo León, Mexico"
Privada Ignacio Luis Vallarta,"Monterrey, Nuevo León, Mexico"
Calle Londres,"Monterrey, Nuevo León, Mexico"
