calle,colonia,geometry,municipio
Cerezo,LA VENTANA,"POLYGON Z ((-100.39597000011526 25.64699399997329 0, -100.39566999977052 25.649019999873246 0, -100.39554000007081 25.648950000242507 0, -100.39543000039407 25.648919999758334 0, -100.39529000023316 25.648919999758334 0, -100.3951799996571 25.648939999781305 0, -100.3946240000974 25.64899599966583 0, -100.39394999959268 25.64879999962045 0, -100.3940800001917 25.648750000012683 0, -100.3941499998225 25.6485499997828 0, -100.39428999998336 25.647959999554473 0, -100.3943999996601 25.647789999808822 0, -100.39474000005083 25.64725000008758 0, -100.39490000023466 25.646840000066106 0, -100.39494999984248 25.64675000041234 0, -100.39515999963413 25.646849999627932 0, -100.39597000011526 25.64699399997329 0))",
Ares,LAS CODORNISES,"POLYGON Z ((-100.40005000030715 25.649480000401866 0, -100.40093000041901 25.65014000026099 0, -100.4006500000973 25.65069000044332 0, -100.40015999998388 25.651660000209006 0, -100.39927000031014 25.65135999986427 0, -100.3995800002167 25.650550000282465 0, -100.40005000030715 25.649480000401866 0))",
Prolongación Tacuba,MISION DEL VALLE,"POLYGON Z ((-100.41011000017619 25.657260000348913 0, -100.41045399985205 25.656660999705537 0, -100.41102400005741 25.656874999681634 0, -100.41137600010217 25.656919999958177 0, -100.41171999977803 25.65707499991146 0, -100.41140999987147 25.65774999956301 0, -100.41011000017619 25.657260000348913 0))",
Privada Tacuba,PRADOS DE LA SIERRA,"POLYGON Z ((-100.40362999992442 25.65228000002213 0, -100.4038199996931 25.65207000023048 0, -100.40403000038407 25.65187999956248 0, -100.40444999996737 25.651500000025123 0, -100.40461999971308 25.651330000279472 0, -100.40473000028913 25.651199999680387 0, -100.4048199999429 25.651060000418852 0, -100.40490000003484 25.650949999842794 0, -100.40500999971158 25.650849999727882 0, -100.4051699998954 25.650720000028116 0, -100.40543999975603 25.650450000167552 0, -100.40576999968556 25.650180000306932 0, -100.40600000039956 25.65000000010008 0, -100.40631000030612 25.649799999870254 0, -100.40654999968257 25.649650000147574 0, -100.40742999979449 25.650200000329903 0, -100.40902200036487 25.651231000210657 0, -100.40863799974375 25.65189500025423 0, -100.40840699988297 25.652309999606985 0, -100.40831500013701 25.652753000250925 0, -100.40843999960617 25.653989999738883 0, -100.40849999967509 25.65490000033492 0, -100.40847999965212 25.655099999665424 0, -100.40843000004429 25.655290000333423 0, -100.40838999999835 25.655420000033132 0, -100.40793999993087 25.656500000374876 0, -100.4078900003231 25.65663999963641 0, -100.40767000007031 25.656570000005672 0, -100.40699000018822 25.656340000190994 0, -100.40641999998286 25.656130000399344 0, -100.40621999975303 25.656059999869285 0, -100.40549000026317 25.65581999959346 0, -100.40463000017422 25.655500000125073 0, -100.40371000001636 25.65519000021851 0, -100.40282999990444 25.65492000035789 0, -100.40192000020767 25.654590000428357 0, -100.40196999981549 25.654470000290473 0, -100.4027200002277 25.653450000017642 0, -100.40309000020318 25.652939999881255 0, -100.4033600000638 25.652589999928693 0, -100.40362999992442 25.65228000002213 0))",
Villena,RES LA CIMA,"POLYGON Z ((-100.40044999986748 25.64569999965545 0, -100.40085000032713 25.645959999954187 0, -100.40112999974951 25.646109999676924 0, -100.40132000041751 25.646209999791836 0, -100.40147999970208 25.646590000228514 0, -100.40151999974802 25.64688999967393 0, -100.40151000018619 25.647009999811814 0, -100.4014199996331 25.647129999949698 0, -100.40134000044054 25.647199999580494 0, -100.40116000023369 25.647239999626436 0, -100.40077999979701 25.64731000015655 0, -100.40034999975256 25.647350000202493 0, -100.39919999978002 25.64760999960197 0, -100.40044999986748 25.64569999965545 0))",
Privada Ares,RINCON COLONIAL,"POLYGON Z ((-100.4075699999554 25.666700000404887 0, -100.40707999984198 25.66701000031145 0, -100.40754999993243 25.667189999618927 0, -100.40609999961515 25.66810000021502 0, -100.40572000007779 25.66833000002964 0, -100.40561999996288 25.66839000009861 0, -100.40533000007929 25.668590000328436 0, -100.40494000008079 25.668860000189 0, -100.40490999959667 25.66898000032694 0, -100.40447999955217 25.6693199998183 0, -100.40383000015424 25.669760000323947 0, -100.4035800003166 25.669899999585482 0, -100.4034299996946 25.66986000043886 0, -100.40317000029512 25.669899999585482 0, -100.40291999955821 25.670039999746336 0, -100.4027200002277 25.670150000322394 0, -100.40243000034411 25.670250000437306 0, -100.40221999965308 25.670320000068102 0, -100.40233999979102 25.670150000322394 0, -100.40235000025217 25.670050000207482 0, -100.40239999985994 25.66980000036989 0, -100.40299999965009 25.668419999683408 0, -100.40309000020318 25.668200000329932 0, -100.40352000024768 25.667169999595956 0, -100.40385000017721 25.66636000001415 0, -100.4042099996916 25.665530000409376 0, -100.40512999984946 25.665849999877764 0, -100.40600000039956 25.666159999784327 0, -100.40641999998286 25.666310000406384 0, -100.40687000005033 25.666460000129064 0, -100.4075699999554 25.666700000404887 0), (-100.40340999967162 25.669080000441852 0, -100.40395999985395 25.668769999635913 0, -100.40329999999483 25.668530000259466 0, -100.40319999987992 25.668769999635913 0, -100.40319000031809 25.668849999727854 0, -100.40323000036409 25.668909999796824 0, -100.40340999967162 25.669080000441852 0))",
Nonoalco,RINCON DE CORREGIDORA,"POLYGON Z ((-100.40395999985395 25.668769999635913 0, -100.40340999967162 25.669080000441852 0, -100.40323000036409 25.668909999796824 0, -100.40319000031809 25.668849999727854 0, -100.40319999987992 25.668769999635913 0, -100.40329999999483 25.668530000259466 0, -100.40395999985395 25.668769999635913 0))",
Coruña,SAN PEDRO,"POLYGON Z ((-100.40719999997987 25.658290000183513 0, -100.40633000032909 25.657989999838776 0, -100.40664999979748 25.657160000234 0, -100.40699000018822 25.656340000190994 0, -100.40767000007031 25.656570000005672 0, -100.4078900003231 25.65663999963641 0, -100.40871999992788 25.656939999981205 0, -100.40841999958315 25.657760000024155 0, -100.40824000027567 25.65817000004563 0, -100.40808000009179 25.658580000067104 0, -100.40719999997987 25.658290000183513 0))",
Tepeyac,ZONA DEL ROSARIO,"POLYGON Z ((-100.3951520001645 25.64259699955204 0, -100.39523600044095 25.64222600042973 0, -100.39564000018572 25.641230000364374 0, -100.39777999994686 25.641440000156024 0, -100.39899400017282 25.641753000200936 0, -100.3986099995517 25.64214000006109 0, -100.39878000019672 25.64518800032613 0, -100.39753000010927 25.64470000030491 0, -100.3970490004109 25.64446300016749 0, -100.39610800018392 25.645862999977624 0, -100.39529000023316 25.645899999885273 0, -100.39517000009528 25.64593000036939 0, -100.3949800003266 25.645879999862245 0, -100.39488000021169 25.64579999977036 0, -100.39506999998036 25.64462999977485 0, -100.39513000004933 25.644580000167025 0, -100.39523000016425 25.644600000189996 0, -100.39533999984099 25.644560000144054 0, -100.39537999988693 25.644449999567996 0, -100.39556000009378 25.64337000012557 0, -100.3951520001645 25.64259699955204 0))",
San Ángel,ZONA DEL VALLE PONIENTE,"POLYGON Z ((-100.4146599995592 25.665809999831765 0, -100.4149149996274 25.667382000379177 0, -100.41344100000202 25.66709100044949 0, -100.41029299962207 25.66710500019576 0, -100.40838000043652 25.667249999687897 0, -100.40818999976852 25.66716000003413 0, -100.40804000004584 25.667130000449333 0, -100.40791000034608 25.667149999572985 0, -100.40754999993243 25.667189999618927 0, -100.40707999984198 25.66701000031145 0, -100.4075699999554 25.666700000404887 0, -100.40687000005033 25.666460000129064 0, -100.40641999998286 25.666310000406384 0, -100.40600000039956 25.666159999784327 0, -100.40512999984946 25.665849999877764 0, -100.4042099996916 25.665530000409376 0, -100.40455000008228 25.664719999928195 0, -100.40490000003484 25.663919999908217 0, -100.40524999998735 25.66315000037241 0, -100.4061399996611 25.66340999977183 0, -100.40703000023416 25.663730000139537 0, -100.40787000030014 25.664009999561983 0, -100.40878999955868 25.66434999995272 0, -100.40841999958315 25.665149999972698 0, -100.4082499998375 25.665569999556 0, -100.40816999974555 25.66594000043085 0, -100.40816000018373 25.666179999807298 0, -100.40820000022967 25.6666099998518 0, -100.40869000034309 25.666500000175006 0, -100.40894999974256 25.666460000129064 0, -100.4092100000413 25.66644999966792 0, -100.40951000038604 25.66646999969089 0, -100.40970000015471 25.66652999975986 0, -100.41251999979801 25.666119999738385 0, -100.41267999998189 25.666099999715357 0, -100.41434000009076 25.665849999877764 0, -100.4146599995592 25.665809999831765 0))",
"['Tepeyac', 'Calle Azcapotzalco']",ZONA HDA SAN FRANCISCO,"POLYGON Z ((-100.40444999996737 25.651500000025123 0, -100.40403000038407 25.65187999956248 0, -100.4038199996931 25.65207000023048 0, -100.40362999992442 25.65228000002213 0, -100.40225000013726 25.6517299998398 0, -100.40198300041499 25.651414999702638 0, -100.40149999972505 25.651119999588502 0, -100.40161999986293 25.650860000189027 0, -100.4016500003471 25.65076999963594 0, -100.40233499956042 25.650575999682815 0, -100.40481100042717 25.649475000171265 0, -100.40580999973156 25.649690000193516 0, -100.40654999968257 25.649650000147574 0, -100.40631000030612 25.649799999870254 0, -100.40600000039956 25.65000000010008 0, -100.40576999968556 25.650180000306932 0, -100.40543999975603 25.650450000167552 0, -100.4051699998954 25.650720000028116 0, -100.40500999971158 25.650849999727882 0, -100.40490000003484 25.650949999842794 0, -100.4048199999429 25.651060000418852 0, -100.40473000028913 25.651199999680387 0, -100.40461999971308 25.651330000279472 0, -100.40444999996737 25.651500000025123 0))",
Tacubaya,ZONA LA CIMA,"POLYGON Z ((-100.40106000011878 25.652099999815277 0, -100.40130999995637 25.651540000071122 0, -100.40149999972505 25.651119999588502 0, -100.40198300041499 25.651414999702638 0, -100.40225000013726 25.6517299998398 0, -100.40362999992442 25.65228000002213 0, -100.4033600000638 25.652589999928693 0, -100.40309000020318 25.652939999881255 0, -100.4027200002277 25.653450000017642 0, -100.40196999981549 25.654470000290473 0, -100.40192000020767 25.654590000428357 0, -100.40108999970357 25.654319999668417 0, -100.40032999972954 25.65406000026894 0, -100.40018999956868 25.653980000177057 0, -100.39927000031014 25.653659999809292 0, -100.39839999976004 25.6533699999257 0, -100.39771000031612 25.65312000008811 0, -100.39757000015521 25.653069999580964 0, -100.39664999999735 25.652750000112576 0, -100.3970800000418 25.65191999960848 0, -100.3972899998335 25.65197000011557 0, -100.39753000010927 25.651999999700365 0, -100.39779000040807 25.65209000025345 0, -100.3981200003376 25.652210000391392 0, -100.39849999987496 25.6523400000911 0, -100.39894000038055 25.65186000043883 0, -100.39991000014624 25.652170000345393 0, -100.40056000044353 25.652385000367644 0, -100.40106000011878 25.652099999815277 0))",
Tlalpan,BOSQUES DE SAN PEDRO,"POLYGON Z ((-100.40633000032909 25.657989999838776 0, -100.40719999997987 25.658290000183513 0, -100.40687000005033 25.659079999742346 0, -100.4064600000288 25.658930000019666 0, -100.40600999996138 25.65878000029693 0, -100.40633000032909 25.657989999838776 0))",
Xochimilco,JARDINES COLONIALES 1ER SECT,"POLYGON Z ((-100.40149999972505 25.651119999588502 0, -100.40130999995637 25.651540000071122 0, -100.40106000011878 25.652099999815277 0, -100.40056000044353 25.652385000367644 0, -100.39991000014624 25.652170000345393 0, -100.39894000038055 25.65186000043883 0, -100.39849999987496 25.6523400000911 0, -100.3981200003376 25.652210000391392 0, -100.39779000040807 25.65209000025345 0, -100.39753000010927 25.651999999700365 0, -100.3972899998335 25.65197000011557 0, -100.3970800000418 25.65191999960848 0, -100.39664999999735 25.652750000112576 0, -100.39593999963114 25.65250999983681 0, -100.39572999983949 25.652440000206013 0, -100.39568000023166 25.652420000183042 0, -100.39545000041704 25.6523400000911 0, -100.39488999977351 25.65213000029945 0, -100.39502999993442 25.65164999974786 0, -100.39517000009528 25.651119999588502 0, -100.39527999977201 25.650720000028116 0, -100.39535000030213 25.65055999984429 0, -100.39545999997887 25.65041999968338 0, -100.39554000007081 25.65031000000664 0, -100.39560999970155 25.65016000028396 0, -100.3956600002087 25.649960000054136 0, -100.39572999983949 25.64967999973237 0, -100.39580999993143 25.649420000332896 0, -100.39623999997588 25.649590000078604 0, -100.39634000009079 25.649690000193516 0, -100.39650000027467 25.649750000262486 0, -100.39742000043253 25.650089999753845 0, -100.39765999980898 25.65028999998367 0, -100.39781999999286 25.650359999614466 0, -100.39839000019822 25.650550000282465 0, -100.3985399999209 25.650570000305436 0, -100.39872999968958 25.65051999979829 0, -100.39886000028861 25.650439999706407 0, -100.39898000042655 25.65031000000664 0, -100.39913000014923 25.650069999730874 0, -100.39929999989494 25.649719999778313 0, -100.39944000005579 25.64953999957146 0, -100.39964000028561 25.649420000332896 0, -100.39979000000835 25.64938999984878 0, -100.3999300001692 25.649400000309925 0, -100.40005000030715 25.649480000401866 0, -100.3995800002167 25.650550000282465 0, -100.39927000031014 25.65135999986427 0, -100.40015999998388 25.651660000209006 0, -100.4006500000973 25.65069000044332 0, -100.40149999972505 25.651119999588502 0))",
Tacuba,JARDINES COLONIALES 2DO SECT,"POLYGON Z ((-100.39929999989494 25.649719999778313 0, -100.39913000014923 25.650069999730874 0, -100.39898000042655 25.65031000000664 0, -100.39886000028861 25.650439999706407 0, -100.39872999968958 25.65051999979829 0, -100.3985399999209 25.650570000305436 0, -100.39839000019822 25.650550000282465 0, -100.39781999999286 25.650359999614466 0, -100.39765999980898 25.65028999998367 0, -100.39742000043253 25.650089999753845 0, -100.39650000027467 25.649750000262486 0, -100.39634000009079 25.649690000193516 0, -100.39623999997588 25.649590000078604 0, -100.39619000036805 25.649269999710896 0, -100.39632000006782 25.649209999641926 0, -100.39638999969856 25.649149999573012 0, -100.39699000038803 25.648369999576005 0, -100.3975399996711 25.647849999877735 0, -100.39773999990092 25.6475199999482 0, -100.3978600000388 25.647330000179522 0, -100.39794999969257 25.64727000011061 0, -100.39837999973707 25.647179999557522 0, -100.39849999987496 25.647120000387872 0, -100.39859999998987 25.647009999811814 0, -100.39886999985049 25.64667999988228 0, -100.39886999985049 25.647660000109056 0, -100.39888000031164 25.648139999761327 0, -100.3989000003346 25.648290000383383 0, -100.39894999994237 25.648349999552977 0, -100.39903600031101 25.649234999895498 0, -100.39929999989494 25.649719999778313 0))",
Avenida Miguel Alemán Valdés,LAS SENDAS GALICIA,"POLYGON Z ((-100.41165999970906 25.654559999944183 0, -100.41159999964015 25.65472999968989 0, -100.41148999996335 25.654960000403833 0, -100.41081000008131 25.656039999846257 0, -100.41045399985205 25.656660999705537 0, -100.41011000017619 25.657260000348913 0, -100.40878999955868 25.656790000258468 0, -100.40871999992788 25.656939999981205 0, -100.4078900003231 25.65663999963641 0, -100.40793999993087 25.656500000374876 0, -100.40838999999835 25.655420000033132 0, -100.40843000004429 25.655290000333423 0, -100.40847999965212 25.655099999665424 0, -100.40849999967509 25.65490000033492 0, -100.40843999960617 25.653989999738883 0, -100.40980999983145 25.653779999947233 0, -100.41146000037855 25.654450000267445 0, -100.41165999970906 25.654559999944183 0))",
Buenos Aires,SANTA ELENA,"POLYGON Z ((-100.41448300039002 25.6554759999176 0, -100.41317999965713 25.65837999983728 0, -100.41228000042156 25.658080000391863 0, -100.4119600000538 25.657989999838776 0, -100.41157999961712 25.657809999631922 0, -100.41140999987147 25.65774999956301 0, -100.41171999977803 25.65707499991146 0, -100.41137600010217 25.656919999958177 0, -100.41102400005741 25.656874999681634 0, -100.41045399985205 25.656660999705537 0, -100.41081000008131 25.656039999846257 0, -100.41148999996335 25.654960000403833 0, -100.41159999964015 25.65472999968989 0, -100.41165999970906 25.654559999944183 0, -100.41183100040018 25.654615999828707 0, -100.41209199984576 25.65479600003556 0, -100.41245300030556 25.654885999689327 0, -100.41279900007362 25.654981999619736 0, -100.41317500032585 25.655072000172822 0, -100.4136669996322 25.65532200001047 0, -100.41394299976946 25.6554460003328 0, -100.41411999983796 25.65546000007913 0, -100.41426500022942 25.655439000010006 0, -100.41440400034418 25.6554460003328 0, -100.41448300039002 25.6554759999176 0))",
Río de Janeiro,ZONA VALLE PONIENTE,"POLYGON Z ((-100.41142699975609 25.648758000381576 0, -100.41012700006087 25.65010899973072 0, -100.40902200036487 25.651231000210657 0, -100.40742999979449 25.650200000329903 0, -100.40654999968257 25.649650000147574 0, -100.40580999973156 25.649690000193516 0, -100.40481100042717 25.649475000171265 0, -100.40568000003185 25.64856999980583 0, -100.40602999998436 25.64850999973686 0, -100.40664000023565 25.64840000006012 0, -100.40693999968107 25.64805000010756 0, -100.40770499988571 25.647330000179522 0, -100.40808000009179 25.646530000159544 0, -100.41083000010428 25.6481300001995 0, -100.41142699975609 25.648758000381576 0))",
"['Calle Río Amazonas', 'Vesubio']",VILLA MONTAÑA CAMPESTRE,"POLYGON Z ((-100.40697999972707 25.64240999992171 0, -100.4058200001927 25.64220000013006 0, -100.40574000010076 25.64220000013006 0, -100.40559000037808 25.64224000017606 0, -100.4052099999414 25.642209999691886 0, -100.40490999959667 25.642149999622973 0, -100.40471000026616 25.642079999992177 0, -100.40451999959816 25.64193000026944 0, -100.4020410003917 25.64111599960387 0, -100.40124000032563 25.641179999857286 0, -100.40051800030534 25.640961999696685 0, -100.40135999956419 25.639920000208008 0, -100.40112000018769 25.639780000047153 0, -100.4008999999349 25.63951999974836 0, -100.4008700003501 25.639340000440825 0, -100.40089000037307 25.639109999726884 0, -100.4008300003041 25.63895000044232 0, -100.40071999972804 25.638779999797293 0, -100.40056000044353 25.63857999956747 0, -100.40054999998239 25.638400000259992 0, -100.40071000016621 25.638119999938226 0, -100.40073999975101 25.637879999662402 0, -100.40079999981998 25.637870000100577 0, -100.39817300008372 25.632072999869195 0, -100.39907000008031 25.631810000331427 0, -100.39942000003282 25.632220000352902 0, -100.39964000028561 25.63233000002964 0, -100.40003999984594 25.632530000259464 0, -100.4004400003056 25.632650000397348 0, -100.40075999977404 25.63272999958997 0, -100.40093999998089 25.632530000259464 0, -100.4010699996806 25.632450000167523 0, -100.40134000044054 25.632490000213522 0, -100.40159000027813 25.632659999959174 0, -100.40182000009275 25.632900000234997 0, -100.40200000029961 25.633589999678918 0, -100.40221000009126 25.63389999958548 0, -100.402359999814 25.633939999631423 0, -100.4027099997665 25.63395999965445 0, -100.40315000027215 25.633950000092568 0, -100.40369999955516 25.63387999956251 0, -100.40428000022166 25.636040000246 0, -100.40442000038257 25.636180000406853 0, -100.40473999985096 25.63674999971289 0, -100.40490999959667 25.636929999919744 0, -100.40500000014976 25.636929999919744 0, -100.40512999984946 25.636849999827803 0, -100.40588000026167 25.63620999999165 0, -100.40617999970709 25.636009999761825 0, -100.40644999956766 25.635980000177028 0, -100.40668999984348 25.63610000031491 0, -100.40715999993392 25.636390000198503 0, -100.40730000009478 25.636390000198503 0, -100.40752000034757 25.6364599998293 0, -100.40773999970105 25.63655999994421 0, -100.40800999956167 25.636849999827803 0, -100.40812999969955 25.637050000057627 0, -100.40834000039058 25.63756999975584 0, -100.40836999997538 25.63764999984778 0, -100.40847999965212 25.637979999777315 0, -100.40841000002132 25.638440000305934 0, -100.40812999969955 25.639040000096088 0, -100.40814999972258 25.639229999864767 0, -100.40826999986047 25.63932999997968 0, -100.40836999997538 25.639359999564476 0, -100.40877000043503 25.63932999997968 0, -100.40937000022518 25.63922000030294 0, -100.40978999980848 25.639399999610475 0, -100.40986999990042 25.639359999564476 0, -100.41003999964613 25.639439999656418 0, -100.41011000017619 25.639550000232475 0, -100.41023000031413 25.63961999986327 0, -100.41044000010578 25.63967000037036 0, -100.41052000019772 25.639610000301445 0, -100.41066000035858 25.639610000301445 0, -100.41075999957417 25.639699999955212 0, -100.41146000037855 25.64039999986028 0, -100.41161000010129 25.640749999812783 0, -100.41183999991591 25.64109000020352 0, -100.41181999989294 25.641210000341403 0, -100.41099000028811 25.642079999992177 0, -100.41046999969058 25.641159999834315 0, -100.40878999955868 25.64103000013455 0, -100.40820000022967 25.64263999973639 0, -100.40697999972707 25.64240999992171 0))",
Jamaica,VILLA MONTAÑA,"POLYGON Z ((-100.40791200043833 25.64608500032267 0, -100.40758000041654 25.645710000116594 0, -100.40738000018672 25.645690000093566 0, -100.4071100003261 25.645710000116594 0, -100.40678000039657 25.64565999960945 0, -100.40613000009927 25.645589999978654 0, -100.40570999961665 25.64550999988677 0, -100.40537999968711 25.645329999679916 0, -100.40444000040554 25.644959999704383 0, -100.40426000019869 25.644850000027645 0, -100.4042099996916 25.64476000037388 0, -100.40414999962263 25.644480000052113 0, -100.40410000001486 25.644199999730347 0, -100.403290000433 25.644239999776346 0, -100.403099999765 25.644259999799317 0, -100.4029000004345 25.644370000375375 0, -100.40227999972205 25.644930000119587 0, -100.40210999997635 25.644899999635413 0, -100.40188000016173 25.644899999635413 0, -100.40173000043904 25.64485999958947 0, -100.40163999988596 25.64480000041982 0, -100.4016100003011 25.64470000030491 0, -100.40167000037007 25.644449999567996 0, -100.40182999965464 25.644050000007667 0, -100.40094300011918 25.643193000057067 0, -100.40062099965928 25.642859999989184 0, -100.40032899968344 25.64204400013068 0, -100.40011499970734 25.641795000339187 0, -100.40051800030534 25.640961999696685 0, -100.40124000032563 25.641179999857286 0, -100.4020410003917 25.64111599960387 0, -100.40451999959816 25.64193000026944 0, -100.40471000026616 25.642079999992177 0, -100.40490999959667 25.642149999622973 0, -100.4052099999414 25.642209999691886 0, -100.40559000037808 25.64224000017606 0, -100.40574000010076 25.64220000013006 0, -100.4058200001927 25.64220000013006 0, -100.40697999972707 25.64240999992171 0, -100.40820000022967 25.64263999973639 0, -100.40841000002132 25.643299999595456 0, -100.40904999985747 25.6448399995665 0, -100.40912999994941 25.64505000025747 0, -100.40929999969507 25.645409999771857 0, -100.40958000001683 25.645819999793332 0, -100.40971499994714 25.646484999883 0, -100.40886999965062 25.646581999859563 0, -100.40808000009179 25.646530000159544 0, -100.40791200043833 25.64608500032267 0))",
Habana,VILLA MONTAÑA 2DO SECT,"POLYGON Z ((-100.403290000433 25.644239999776346 0, -100.40410000001486 25.644199999730347 0, -100.40414999962263 25.644480000052113 0, -100.4042099996916 25.64476000037388 0, -100.40426000019869 25.644850000027645 0, -100.40444000040554 25.644959999704383 0, -100.40537999968711 25.645329999679916 0, -100.40570999961665 25.64550999988677 0, -100.40613000009927 25.645589999978654 0, -100.40605000000733 25.645759999724362 0, -100.40596000035356 25.64585000027745 0, -100.40553999987094 25.646089999653952 0, -100.40510000026467 25.646300000344922 0, -100.40494999964261 25.646340000390865 0, -100.4048199999429 25.646340000390865 0, -100.40467000022016 25.646340000390865 0, -100.40453000005931 25.646380000436864 0, -100.40446000042851 25.646439999606457 0, -100.40440999992143 25.646530000159544 0, -100.4044000003596 25.647089999903756 0, -100.4034299996946 25.647219999603465 0, -100.4030100001113 25.64749999992523 0, -100.40239999985994 25.648159999784355 0, -100.40198999983846 25.647450000317406 0, -100.4014199996331 25.647129999949698 0, -100.40151000018619 25.647009999811814 0, -100.40151999974802 25.64688999967393 0, -100.40147999970208 25.646590000228514 0, -100.40132000041751 25.646209999791836 0, -100.40112999974951 25.646109999676924 0, -100.40085000032713 25.645959999954187 0, -100.40044999986748 25.64569999965545 0, -100.4006799996821 25.645309999656945 0, -100.4014199996331 25.64415000012258 0, -100.4016100003011 25.64470000030491 0, -100.40163999988596 25.64480000041982 0, -100.40173000043904 25.64485999958947 0, -100.40188000016173 25.644899999635413 0, -100.40210999997635 25.644899999635413 0, -100.40227999972205 25.644930000119587 0, -100.4029000004345 25.644370000375375 0, -100.403099999765 25.644259999799317 0, -100.403290000433 25.644239999776346 0))",
José Alvarado,LA CIMA 2DO SECT,"POLYGON Z ((-100.40044999986748 25.64569999965545 0, -100.39919999978002 25.64760999960197 0, -100.39886999985049 25.647660000109056 0, -100.39886999985049 25.64667999988228 0, -100.39882000024267 25.64552999990974 0, -100.39878000019672 25.64518800032613 0, -100.3986099995517 25.64214000006109 0, -100.39899400017282 25.641753000200936 0, -100.40011499970734 25.641795000339187 0, -100.40032899968344 25.64204400013068 0, -100.40062099965928 25.642859999989184 0, -100.40094300011918 25.643193000057067 0, -100.40182999965464 25.644050000007667 0, -100.40167000037007 25.644449999567996 0, -100.4016100003011 25.64470000030491 0, -100.4014199996331 25.64415000012258 0, -100.4006799996821 25.645309999656945 0, -100.40044999986748 25.64569999965545 0))",
Tordillo,PALO BLANCO SECT EL EDEN,"POLYGON Z ((-100.4033600000638 25.656019999823286 0, -100.40426000019869 25.65632999972985 0, -100.40389999978504 25.657160000234 0, -100.40303000013427 25.656859999889264 0, -100.40319000031809 25.656440000305906 0, -100.4033600000638 25.656019999823286 0))",
Calle Valle de Guadalupe,PRIVADA VERSALLES,"POLYGON Z ((-100.39798999973857 25.658809999881726 0, -100.39837999973707 25.65802000032295 0, -100.39923000026414 25.658310000206484 0, -100.39886999985049 25.659119999788345 0, -100.39798999973857 25.658809999881726 0))",
Valle de Anáhuac,RESIDENCIAL PALO BLANCO,"POLYGON Z ((-100.39886999985049 25.659119999788345 0, -100.39853000035907 25.659910000246498 0, -100.39765000024715 25.659580000316907 0, -100.39798999973857 25.658809999881726 0, -100.39886999985049 25.659119999788345 0))",
Orizaba,VILLAS DE SANTA BARBARA,"POLYGON Z ((-100.39927000031014 25.653659999809292 0, -100.40018999956868 25.653980000177057 0, -100.39981999959315 25.654780000197036 0, -100.39890999989643 25.654470000290473 0, -100.39804000024566 25.654160000383854 0, -100.39839999976004 25.6533699999257 0, -100.39927000031014 25.653659999809292 0))",
Bahía del Alicante,HACIENDA PALO BLANCO,"POLYGON Z ((-100.39394999959268 25.64879999962045 0, -100.3946240000974 25.64899599966583 0, -100.3951799996571 25.648939999781305 0, -100.39529000023316 25.648919999758334 0, -100.39543000039407 25.648919999758334 0, -100.39554000007081 25.648950000242507 0, -100.39566999977052 25.649019999873246 0, -100.39576999988543 25.649130000449304 0, -100.39582000039258 25.649240000126042 0, -100.3958299999544 25.64932999977981 0, -100.39580999993143 25.649420000332896 0, -100.39572999983949 25.64967999973237 0, -100.3956600002087 25.649960000054136 0, -100.39560999970155 25.65016000028396 0, -100.39554000007081 25.65031000000664 0, -100.39545999997887 25.65041999968338 0, -100.39535000030213 25.65055999984429 0, -100.39527999977201 25.650720000028116 0, -100.39517000009528 25.651119999588502 0, -100.39502999993442 25.65164999974786 0, -100.39488999977351 25.65213000029945 0, -100.39398999963862 25.651809999931743 0, -100.39240999962163 25.65125000018753 0, -100.39254999978249 25.6502699999607 0, -100.3922999999449 25.65016000028396 0, -100.39221200038338 25.650942000373163 0, -100.39181299996983 25.650831999797106 0, -100.39158300015521 25.650658999913105 0, -100.39136800013296 25.65053400044394 0, -100.39117600027203 25.650299000398718 0, -100.3910529999958 25.64999399982338 0, -100.39086100013492 25.649745000031885 0, -100.3904079999291 25.649405999687303 0, -100.39030000034461 25.649309999756838 0, -100.39065399958224 25.648803999804898 0, -100.3927599995742 25.649400000309925 0, -100.39297000026517 25.648850000127595 0, -100.39320999964161 25.64879999962045 0, -100.39394999959268 25.64879999962045 0))",
